"cond";"gamma";"model";"performance";"deviance"
"BPV1";0.05;"2scal";1;0.0997940105966001
"BPV2";0.05;"2scal";1;0.153026326116995
"BPV1";0.1;"2scal";1;0.0780113005609308
"BPV2";0.1;"2scal";1;0.126258251792984
"BPV1";0.15;"2scal";0.999;0.0595400421145133
"BPV2";0.15;"2scal";0.998;0.102870284486998
"BPV1";0.2;"2scal";0.984;0.0440721947881028
"BPV2";0.2;"2scal";0.978;0.0825596498292934
"BPV1";0.25;"2scal";0.959;0.0313303008617523
"BPV2";0.25;"2scal";0.955;0.0650513329796142
"BPV1";0.3;"2scal";0.928;0.0210788814107912
"BPV2";0.3;"2scal";0.895;0.0501149439755879
"BPV1";0.35;"2scal";0.866;0.0131232254583894
"BPV2";0.35;"2scal";0.871;0.03757304182031
"BPV1";0.4;"2scal";0.813;0.00725944637203271
"BPV2";0.4;"2scal";0.836;0.0272419435613473
"BPV1";0.45;"2scal";0.791;0.00327283495180612
"BPV2";0.45;"2scal";0.789;0.0189289154334956
"BPV1";0.5;"2scal";0.769;0.000940120691610835
"BPV2";0.5;"2scal";0.764;0.0124341602108979
"BPV1";0.55;"2scal";0.734;2.31325424478271e-05
"BPV2";0.55;"2scal";0.745;0.0074240113310953
"BPV1";0.6;"2scal";0.719;0.000426917748482164
"BPV2";0.6;"2scal";0.723;0.0037531280763836
"BPV1";0.65;"2scal";0.698;0.00202630861113807
"BPV2";0.65;"2scal";0.68;0.0014035656252231
"BPV1";0.7;"2scal";0.669;0.00455747722859513
"BPV2";0.7;"2scal";0.669;0.000237848469212871
"BPV1";0.75;"2scal";0.647;0.00763993390426412
"BPV2";0.75;"2scal";0.643;1.77021119750354e-05
"BPV1";0.8;"2scal";0.617;0.0108195357770998
"BPV2";0.8;"2scal";0.657;0.000425737892701496
"BPV1";0.85;"2scal";0.628;0.0138508835509805
"BPV2";0.85;"2scal";0.645;0.00116471199730799
"BPV1";0.9;"2scal";0.617;0.0167046602482101
"BPV2";0.9;"2scal";0.585;0.00208217987966408
"BPV1";0.95;"2scal";0.599;0.0194626641772676
"BPV2";0.95;"2scal";0.601;0.00314526408494214
"BPV1";1;"2scal";0.596;0.0222897920389343
"BPV2";1;"2scal";0.603;0.00441204844129203
"BPV1";1.05;"2scal";0.583;0.0247890795568663
"BPV2";1.05;"2scal";0.576;0.00575851833677179
"BPV1";1.1;"2scal";0.568;0.0265614890949098
"BPV2";1.1;"2scal";0.58;0.00696877666946128
"BPV1";1.15;"2scal";0.576;0.0278899731871531
"BPV2";1.15;"2scal";0.575;0.00806680275172294
"BPV1";1.2;"2scal";0.561;0.0291160180840635
"BPV2";1.2;"2scal";0.561;0.00912076325486839
"BPV1";1.25;"2scal";0.578;0.0306185356820163
"BPV2";1.25;"2scal";0.574;0.0102313940952076
"BPV1";1.3;"2scal";0.562;0.0322490508546846
"BPV2";1.3;"2scal";0.573;0.0113051417193266
"BPV1";1.35;"2scal";0.544;0.0336421863160687
"BPV2";1.35;"2scal";0.539;0.0121980894819185
"BPV1";1.4;"2scal";0.557;0.0348886068496386
"BPV2";1.4;"2scal";0.548;0.0129712264467918
"BPV1";1.45;"2scal";0.573;0.0360888285804893
"BPV2";1.45;"2scal";0.519;0.0137001423153833
"BPV1";1.5;"2scal";0.546;0.0373513288246534
"BPV2";1.5;"2scal";0.554;0.0144713393590174
"BPV1";1.55;"2scal";0.553;0.0386207248363813
"BPV2";1.55;"2scal";0.509;0.0152462062352765
"BPV1";1.6;"2scal";0.552;0.0397723954562192
"BPV2";1.6;"2scal";0.556;0.0159261628852023
"BPV1";1.65;"2scal";0.529;0.0408179478405913
"BPV2";1.65;"2scal";0.528;0.0165169715795569
"BPV1";1.7;"2scal";0.534;0.0417705134825071
"BPV2";1.7;"2scal";0.539;0.0170264149232627
"BPV1";1.75;"2scal";0.544;0.0426445010551478
"BPV2";1.75;"2scal";0.553;0.0174639072657996
"BPV1";1.8;"2scal";0.525;0.0434397542713714
"BPV2";1.8;"2scal";0.529;0.0178282910553159
"BPV1";1.85;"2scal";0.51;0.0441418922737848
"BPV2";1.85;"2scal";0.519;0.0181080158907887
"BPV1";1.9;"2scal";0.524;0.0447449888453972
"BPV2";1.9;"2scal";0.524;0.0182983465022637
"BPV1";1.95;"2scal";0.526;0.0452433812900654
"BPV2";1.95;"2scal";0.531;0.0183951641730789
"BPV1";2;"2scal";0.54;0.0456317122830366
"BPV2";2;"2scal";0.508;0.0183950347181528
"BPV1";0.05;"sev";1;0.0873660359872454
"BPV2";0.05;"sev";1;0.143405991809014
"BPV1";0.1;"sev";1;0.0766732530034291
"BPV2";0.1;"sev";1;0.129249897512412
"BPV1";0.15;"sev";1;0.0667666695799332
"BPV2";0.15;"sev";1;0.115955058323338
"BPV1";0.2;"sev";0.998;0.0575748546498948
"BPV2";0.2;"sev";0.997;0.103424928097293
"BPV1";0.25;"sev";0.987;0.0490425651354926
"BPV2";0.25;"sev";0.989;0.0915808136513128
"BPV1";0.3;"sev";0.975;0.0411501699997121
"BPV2";0.3;"sev";0.978;0.0803957921818785
"BPV1";0.35;"sev";0.93;0.0339472347961304
"BPV2";0.35;"sev";0.95;0.0699425251543069
"BPV1";0.4;"sev";0.92;0.0274793377321612
"BPV2";0.4;"sev";0.929;0.0602890305858328
"BPV1";0.45;"sev";0.888;0.021772129429495
"BPV2";0.45;"sev";0.885;0.0514821973627467
"BPV1";0.5;"sev";0.875;0.0168318633410586
"BPV2";0.5;"sev";0.877;0.0435483928248304
"BPV1";0.55;"sev";0.871;0.0124259107122924
"BPV2";0.55;"sev";0.856;0.0360811333627808
"BPV1";0.6;"sev";0.846;0.00852966222794872
"BPV2";0.6;"sev";0.815;0.0289890824059182
"BPV1";0.65;"sev";0.792;0.00535839897715899
"BPV2";0.65;"sev";0.808;0.0226551699153024
"BPV1";0.7;"sev";0.785;0.00300478571140665
"BPV2";0.7;"sev";0.788;0.0173220885182096
"BPV1";0.75;"sev";0.769;0.00144478293053277
"BPV2";0.75;"sev";0.774;0.0130993595456021
"BPV1";0.8;"sev";0.764;0.000514283797215803
"BPV2";0.8;"sev";0.759;0.00982564666350075
"BPV1";0.85;"sev";0.74;6.76207534091524e-05
"BPV2";0.85;"sev";0.723;0.0072299089482915
"BPV1";0.9;"sev";0.736;2.78511541014726e-05
"BPV2";0.9;"sev";0.722;0.00518805935941824
"BPV1";0.95;"sev";0.714;0.000314983564097495
"BPV2";0.95;"sev";0.711;0.0035981614207337
"BPV1";1;"sev";0.726;0.000847489923416112
"BPV2";1;"sev";0.73;0.00237760434636101
"BPV1";1.05;"sev";0.703;0.00150651296314965
"BPV2";1.05;"sev";0.716;0.00152236906887716
"BPV1";1.1;"sev";0.68;0.00218762835016703
"BPV2";1.1;"sev";0.694;0.00096304668954858
"BPV1";1.15;"sev";0.684;0.00287510964011437
"BPV2";1.15;"sev";0.666;0.000580517742135476
"BPV1";1.2;"sev";0.689;0.00359895321760366
"BPV2";1.2;"sev";0.684;0.000305805319751918
"BPV1";1.25;"sev";0.68;0.00442482324545356
"BPV2";1.25;"sev";0.686;0.000110249416257478
"BPV1";1.3;"sev";0.672;0.00529530465793544
"BPV2";1.3;"sev";0.634;1.04397125105324e-05
"BPV1";1.35;"sev";0.649;0.00610539785745776
"BPV2";1.35;"sev";0.67;1.36957668377822e-05
"BPV1";1.4;"sev";0.647;0.00689008680546562
"BPV2";1.4;"sev";0.638;0.000104636459430278
"BPV1";1.45;"sev";0.651;0.00770180812586284
"BPV2";1.45;"sev";0.656;0.000265294545682826
"BPV1";1.5;"sev";0.671;0.00860809888568979
"BPV2";1.5;"sev";0.662;0.000475695846004263
"BPV1";1.55;"sev";0.652;0.00958103548184039
"BPV2";1.55;"sev";0.621;0.000719684000748693
"BPV1";1.6;"sev";0.623;0.0105431345385421
"BPV2";1.6;"sev";0.628;0.000985784154034866
"BPV1";1.65;"sev";0.643;0.0115015386670539
"BPV2";1.65;"sev";0.626;0.00126023986348553
"BPV1";1.7;"sev";0.624;0.0124665086204481
"BPV2";1.7;"sev";0.624;0.00152986468620628
"BPV1";1.75;"sev";0.629;0.0134511341835713
"BPV2";1.75;"sev";0.601;0.00178224703897029
"BPV1";1.8;"sev";0.63;0.0144556027370433
"BPV2";1.8;"sev";0.612;0.00200766935290656
"BPV1";1.85;"sev";0.641;0.0154656170134564
"BPV2";1.85;"sev";0.601;0.00219954649031762
"BPV1";1.9;"sev";0.57;0.0164742361906307
"BPV2";1.9;"sev";0.613;0.00235204464167065
"BPV1";1.95;"sev";0.643;0.0174741420642806
"BPV2";1.95;"sev";0.607;0.00246085643688243
"BPV1";2;"sev";0.579;0.0184576832546593
"BPV2";2;"sev";0.626;0.00252315850471284
"BPV1";0.05;"wta";1;0.0976374785498546
"BPV2";0.05;"wta";1;0.154384290264511
"BPV1";0.1;"wta";1;0.0760474337578832
"BPV2";0.1;"wta";1;0.127255379367542
"BPV1";0.15;"wta";0.996;0.0579409402526691
"BPV2";0.15;"wta";0.997;0.103752645085809
"BPV1";0.2;"wta";0.986;0.0429568694768514
"BPV2";0.2;"wta";0.986;0.0835265659077486
"BPV1";0.25;"wta";0.952;0.0307595824098583
"BPV2";0.25;"wta";0.957;0.0662528490265264
"BPV1";0.3;"wta";0.916;0.0210487769495859
"BPV2";0.3;"wta";0.921;0.0516475138049904
"BPV1";0.35;"wta";0.869;0.01354843569711
"BPV2";0.35;"wta";0.88;0.0394616362622428
"BPV1";0.4;"wta";0.82;0.00798491597583075
"BPV2";0.4;"wta";0.823;0.0294459467800964
"BPV1";0.45;"wta";0.796;0.00409481057274508
"BPV2";0.45;"wta";0.782;0.0213577625144394
"BPV1";0.5;"wta";0.771;0.00162584032302178
"BPV2";0.5;"wta";0.772;0.0149621239923362
"BPV1";0.55;"wta";0.756;0.000319244556181733
"BPV2";0.55;"wta";0.752;0.00991671895625805
"BPV1";0.6;"wta";0.73;1.25940505485049e-05
"BPV2";0.6;"wta";0.717;0.00604165222993187
"BPV1";0.65;"wta";0.692;0.000549390383009296
"BPV2";0.65;"wta";0.734;0.00328386416968835
"BPV1";0.7;"wta";0.683;0.00170697055529218
"BPV2";0.7;"wta";0.689;0.00151031566857535
"BPV1";0.75;"wta";0.692;0.00321377730388818
"BPV2";0.75;"wta";0.665;0.000526730016712759
"BPV1";0.8;"wta";0.651;0.00467564216778185
"BPV2";0.8;"wta";0.673;0.000114754237330558
"BPV1";0.85;"wta";0.686;0.00584129740671865
"BPV2";0.85;"wta";0.681;4.21979704127811e-06
"BPV1";0.9;"wta";0.664;0.00675672557077489
"BPV2";0.9;"wta";0.664;1.87579532591325e-05
"BPV1";0.95;"wta";0.66;0.00757794857134469
"BPV2";0.95;"wta";0.634;9.50762613395914e-05
"BPV1";1;"wta";0.655;0.00852754101146512
"BPV2";1;"wta";0.65;0.000240623186925836
"BPV1";1.05;"wta";0.641;0.00937092344998658
"BPV2";1.05;"wta";0.63;0.000421016276520662
"BPV1";1.1;"wta";0.627;0.00979909872494869
"BPV2";1.1;"wta";0.659;0.000548789392748483
"BPV1";1.15;"wta";0.638;0.0100044658931643
"BPV2";1.15;"wta";0.607;0.000633526433089241
"BPV1";1.2;"wta";0.64;0.0102043049486319
"BPV2";1.2;"wta";0.641;0.000712087566069722
"BPV1";1.25;"wta";0.628;0.0106274523862947
"BPV2";1.25;"wta";0.622;0.00083558608484819
"BPV1";1.3;"wta";0.671;0.0112209762506589
"BPV2";1.3;"wta";0.632;0.000988314837113591
"BPV1";1.35;"wta";0.623;0.0117770197269991
"BPV2";1.35;"wta";0.657;0.00111579874635369
"BPV1";1.4;"wta";0.608;0.0123064954400959
"BPV2";1.4;"wta";0.636;0.00122669297649521
"BPV1";1.45;"wta";0.639;0.0128218512393832
"BPV2";1.45;"wta";0.627;0.00133361247155861
"BPV1";1.5;"wta";0.649;0.0133368747451267
"BPV2";1.5;"wta";0.613;0.00145209734828779
"BPV1";1.55;"wta";0.631;0.0138405349204546
"BPV2";1.55;"wta";0.623;0.00157532049346811
"BPV1";1.6;"wta";0.62;0.0143130908355761
"BPV2";1.6;"wta";0.593;0.00168500031778572
"BPV1";1.65;"wta";0.598;0.0147565223209618
"BPV2";1.65;"wta";0.63;0.00178204454576966
"BPV1";1.7;"wta";0.622;0.0151732013156034
"BPV2";1.7;"wta";0.613;0.00186791477868575
"BPV1";1.75;"wta";0.609;0.0155658444053918
"BPV2";1.75;"wta";0.633;0.00194451155330533
"BPV1";1.8;"wta";0.609;0.0159332370324395
"BPV2";1.8;"wta";0.609;0.00201101481658937
"BPV1";1.85;"wta";0.611;0.0162709558128123
"BPV2";1.85;"wta";0.611;0.00206441069088618
"BPV1";1.9;"wta";0.598;0.0165771933674122
"BPV2";1.9;"wta";0.619;0.00210367141890325
"BPV1";1.95;"wta";0.615;0.0168502239761812
"BPV2";1.95;"wta";0.602;0.00212790458959038
"BPV1";2;"wta";0.621;0.0170884115286155
"BPV2";2;"wta";0.621;0.00213637005789924
