"cond";"gamma";"choice_sev";"pred_perf";"obs_perf";"deviance"
"1";"BPV1";0.05;1;1.04527218395878;0.74;0.119212881015664
"2";"BPV1";0.1;1;1.02014546695738;0.74;0.10249312001336
"3";"BPV1";0.15;1;0.995842769914183;0.74;0.0875229445104964
"4";"BPV1";0.2;1;0.972265726040881;0.74;0.0741286255765681
"5";"BPV1";0.25;0.97;0.949315968549173;0.74;0.0621584521736122
"6";"BPV1";0.3;0.93;0.926979288612459;0.74;0.0515195974590179
"7";"BPV1";0.35;0.94;0.905371055917323;0.74;0.0421772706085964
"8";"BPV1";0.4;0.92;0.884587271445242;0.74;0.0340724607795995
"9";"BPV1";0.45;0.88;0.864723936177691;0.74;0.027133975149872
"10";"BPV1";0.5;0.87;0.845877051096145;0.74;0.0212801140365073
"11";"BPV1";0.55;0.85;0.827365521200243;0.74;0.0162219759906095
"12";"BPV1";0.6;0.82;0.808871439576318;0.74;0.0118529903554199
"13";"BPV1";0.65;0.74;0.791035589335892;0.74;0.00828747852573316
"14";"BPV1";0.7;0.74;0.774498753590483;0.74;0.00555006428653557
"15";"BPV1";0.75;0.68;0.759901715451613;0.74;0.00358821551404596
"16";"BPV1";0.8;0.73;0.748771506691923;0.74;0.00237865986500028
"17";"BPV1";0.85;0.73;0.740993812856422;0.74;0.00168049269250736
"18";"BPV1";0.9;0.78;0.734747397715178;0.74;0.00120738164797673
"19";"BPV1";0.95;0.78;0.728211025038256;0.74;0.00079586193370912
"20";"BPV1";1;0.7;0.719563458595725;0.74;0.000382728912226653
"21";"BPV1";1.05;0.67;0.709084095419273;0.74;8.25207895864651e-05
"22";"BPV1";1.1;0.77;0.698471333317159;0.74;2.33682182722748e-06
"23";"BPV1";1.15;0.75;0.688032437224304;0.74;0.000143222558790235
"24";"BPV1";1.2;0.72;0.678074672075627;0.74;0.000480720004591274
"25";"BPV1";1.25;0.63;0.668905302806052;0.74;0.000966880193583337
"26";"BPV1";1.3;0.67;0.659781794628043;0.74;0.00161750404334093
"27";"BPV1";1.35;0.69;0.650275871105189;0.74;0.00247248899434773
"28";"BPV1";1.4;0.5;0.641166184699096;0.74;0.00346141782286092
"29";"BPV1";1.45;0.54;0.633231387871366;0.74;0.00445804756558402
"30";"BPV1";1.5;0.64;0.627250133083603;0.74;0.00529254313635342
"31";"BPV1";1.55;0.68;0.622781651772221;0.74;0.00596267330302646
"32";"BPV1";1.6;0.58;0.619006667888591;0.74;0.00655991984650891
"33";"BPV1";1.65;0.63;0.616136072666757;0.74;0.00703315830775544
"34";"BPV1";1.7;0.64;0.614380757340761;0.74;0.00733065471354158
"35";"BPV1";1.75;0.6;0.613951613144648;0.74;0.00740432488040826
"36";"BPV1";1.8;0.66;0.614854023866477;0.74;0.00724983725173047
"37";"BPV1";1.85;0.61;0.616925543185759;0.74;0.00690136537498111
"38";"BPV1";1.9;0.65;0.620125317173717;0.74;0.0063799649565993
"39";"BPV1";1.95;0.58;0.624412491901571;0.74;0.00571347138053
"40";"BPV1";2;0.63;0.629746213440544;0.74;0.00493559452594157
"41";"BPV2";0.05;1;1.03545760756542;0.66;0.112531806473514
"42";"BPV2";0.1;1;1.01524519759459;0.66;0.099379534606449
"43";"BPV2";0.15;1;0.995346037245393;0.66;0.0872292817165573
"44";"BPV2";0.2;0.99;0.97567118884752;0.66;0.0759946043606049
"45";"BPV2";0.25;0.98;0.956131714730642;0.66;0.0656034552908589
"46";"BPV2";0.3;0.98;0.936682046161765;0.66;0.0560183909753201
"47";"BPV2";0.35;0.92;0.917406964373812;0.66;0.0472657881582359
"48";"BPV2";0.4;0.9;0.898413056645331;0.66;0.0393677410473434
"49";"BPV2";0.45;0.91;0.879806910254872;0.66;0.0323305249754038
"50";"BPV2";0.5;0.82;0.861695112480986;0.66;0.0261453094002386
"51";"BPV2";0.55;0.85;0.843361093388783;0.66;0.0205524030976273
"52";"BPV2";0.6;0.84;0.824476513582404;0.66;0.0154944024336305
"53";"BPV2";0.65;0.82;0.805730306148942;0.66;0.0111788976383491
"54";"BPV2";0.7;0.77;0.787811404175489;0.66;0.00771084270327106
"55";"BPV2";0.75;0.78;0.771408740749135;0.66;0.00509920825537721
"56";"BPV2";0.8;0.74;0.756520197459138;0.66;0.00319453272081993
"57";"BPV2";0.85;0.74;0.742667290874414;0.66;0.00182049771056183
"58";"BPV2";0.9;0.73;0.729824406551547;0.66;0.00088949522615195
"59";"BPV2";0.95;0.66;0.71796593004712;0.66;0.000322774642458025
"60";"BPV2";1;0.73;0.707066246917718;0.66;4.99318455021569e-05
"61";"BPV2";1.05;0.74;0.697506739628076;0.66;6.21634728220544e-06
"62";"BPV2";1.1;0.71;0.689389454162732;0.66;0.000112583682964774
"63";"BPV2";1.15;0.71;0.682269771357967;0.66;0.000314361007698763
"64";"BPV2";1.2;0.6;0.675703072050065;0.66;0.000590340707804321
"65";"BPV2";1.25;0.64;0.669244737075309;0.66;0.000945886197566886
"66";"BPV2";1.3;0.71;0.663302462389463;0.66;0.00134670926667681
"67";"BPV2";1.35;0.68;0.658330176820977;0.66;0.00173637416377107
"68";"BPV2";1.4;0.59;0.653952610515162;0.66;0.00212036207836839
"69";"BPV2";1.45;0.73;0.649794493617328;0.66;0.00252059287114048
"70";"BPV2";1.5;0.63;0.645480556272788;0.66;0.00297236974432467
"71";"BPV2";1.55;0.62;0.641166909658546;0.66;0.00346133251912573
"72";"BPV2";1.6;0.66;0.637222709968324;0.66;0.00394098814372114
"73";"BPV2";1.65;0.6;0.633592254872508;0.66;0.00440998861291797
"74";"BPV2";1.7;0.59;0.63021984204148;0.66;0.00486927044471597
"75";"BPV2";1.75;0.68;0.627049769145626;0.66;0.00532173618170642
"76";"BPV2";1.8;0.63;0.624081292182252;0.66;0.00576365019671659
"77";"BPV2";1.85;0.71;0.621355904352953;0.66;0.00618489378014181
"78";"BPV2";1.9;0.58;0.61888125913455;0.66;0.00658025011959605
"79";"BPV2";1.95;0.56;0.61666501000386;0.66;0.00694472055765669
"80";"BPV2";2;0.63;0.614714810437704;0.66;0.00727356355867675
